label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
spectrev1_masking_case_2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.003981,0,1,0,1,0.003981,0,0,0,0,0,0,1,0,1,0.003981,1117,1117,1,49,2,1,1,1,0,0,0,232,68,60,0,0,0,0.014027,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.003963,0,1,0,1,0.003963,0,0,0,0,0,0,1,0,1,0.003963,1117,1117,1,49,2,1,1,1,0,0,0,232,68,60,0,0,0,0.014153,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004144,0,1,0,1,0.004144,0,0,0,0,0,0,1,0,1,0.004144,1191,1191,1,40,2,1,1,1,0,0,0,230,60,52,0,0,0,0.014582,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_5,1,1,1,17,1,0,18,1.404392,0,0,0,0,0,0,23,0,23,1.203395,0,23,0,23,1.203395,0,0,0,0,0,17,24,0,41,2.607787,10710.658537,18522,23,783,26,25,25,25,0,0,0,3060,772,56,0,0,0,5.167179,0,0,inf,relational,1,row-map,boolector,0,26,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004727,0,1,0,1,0.004727,0,0,0,0,0,0,1,0,1,0.004727,1200,1200,1,43,2,1,1,1,0,0,0,258,70,62,0,0,0,0.015877,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004311,0,1,0,1,0.004311,0,0,0,0,0,0,1,0,1,0.004311,1009,1009,1,69,4,3,3,3,0,0,0,326,92,58,0,0,0,0.016136,0,0,inf,relational,1,row-map,boolector,0,4,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004262,0,1,0,1,0.004262,0,0,0,0,0,0,1,0,1,0.004262,996,996,1,48,2,1,1,1,0,0,0,266,75,49,0,0,0,0.014825,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00402,0,1,0,1,0.00402,0,0,0,0,0,0,1,0,1,0.00402,813,813,1,29,2,1,1,1,0,0,0,173,48,40,0,0,0,0.012405,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_10,1,1,1,0,0,0,0,0,0,1,0,1,0.003966,0,0,0,0,0,0,1,0,1,0.003966,0,0,0,0,0,0,1,0,1,0.003966,1079,1079,1,48,3,2,2,2,0,0,0,218,62,46,0,0,0,0.013639,0,0,inf,relational,1,row-map,boolector,0,3,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11gcc,1,1,1,14,0,0,14,0.310486,0,31,0,31,0.379061,0,1,0,1,0.00409,0,32,0,32,0.383151,0,0,0,0,0,14,32,0,46,0.693638,3737.217391,5078,32,613,50,49,49,49,0,0,0,3078,1090,90,0,0,0,1.001433,0,0,inf,relational,1,row-map,boolector,0,50,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11ker,1,1,1,10,0,0,10,0.207439,0,13,0,13,0.146168,0,1,0,1,0.004045,0,14,0,14,0.150213,0,0,0,0,0,10,14,0,24,0.357652,6510.083333,9021,14,694,29,28,28,28,0,0,0,2148,651,85,0,0,0,0.684057,0,0,inf,relational,1,row-map,boolector,0,29,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11sub,1,1,1,5,0,0,5,0.10782,0,22,0,22,0.316811,0,2,0,2,0.008296,0,24,0,24,0.325106,0,0,0,0,0,5,24,0,29,0.432926,5544.551724,9261,24,861,48,47,47,47,0,0,0,3858,1136,84,0,0,0,0.787066,0,0,inf,relational,1,row-map,boolector,0,48,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004235,0,1,0,1,0.004235,0,0,0,0,0,0,1,0,1,0.004235,1376,1376,1,43,2,1,1,1,0,0,0,244,66,58,0,0,0,0.01519,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.002989,0,1,0,1,0.002989,0,0,0,0,0,0,1,0,1,0.002989,1018,1018,1,42,4,3,3,1,2,0,0,224,65,52,0,0,0,0.015834,0,0,inf,relational,1,row-map,boolector,0,4,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004158,0,1,0,1,0.004158,0,0,0,0,0,0,1,0,1,0.004158,1178,1178,1,43,2,1,1,1,0,0,0,230,63,55,0,0,0,0.014104,0,0,inf,relational,1,row-map,boolector,0,2,0,Haunted,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
